id,movie_img_link,movie_name,movie_video_link
403,https://assets-in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/boys-hostel-et00367143-1692013700.jpg,"Boy's Hostel",https://maxhd.icu/Boys%20Hostel%20(2023)%20720p%20HD%20-%20Bolly2Tolly.city.mp4
404,https://th.bing.com/th?id=OIP.AQYdW6YNWNGIxCkRjyyPSAHaKY&w=211&h=295&c=8&rs=1&qlt=90&o=6&dpr=1.2&pid=3.1&rm=2,MAD,https://vidohd.com/MAD%20(2023)%20720p%20HD%20-%20Bolly2Tolly.city.mp4
405,https://img.lazcdn.com/g/p/a27e2a791b17e684754fb1a84d7fabd9.jpg_720x720q80.jpg,"The Great Indian Suicide",https://vidohd.com/The%20Great%20Indian%20Suicide%20(2023)%20720p%20HD%20-%20Bolly2Tolly.city.mp4
406,https://www.telugubulletin.com/wp-content/uploads/2023/06/Pedda-Kapu.jpeg,"Peddakapu 1",https://vidohd.com/Peddakapu%201%20(2023)%20720p%20HD%20-%20Bolly2Tolly.city.mp4
407,https://m.media-amazon.com/images/M/MV5BNThmOTIzOGMtOGRlYi00OWZkLWI3Y2EtY2FhZmY5MThmNjBmXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_FMjpg_UX1000_.jpg,Baby,https://vidohd.com/Baby%20(2023)%20Telugu%20720p%20HD%20-%20Bolly2Tolly.bio.mp4
408,https://www.themoviedb.org/t/p/original/r8tqNAn0r78PgHQPQTxmvPH7Jot.jpg,Samajavaragamana,https://maxhd.icu/Samajavaragamana%20(2023)%20720p%20HD%20-%20Bolly2Tolly.skin.mp4
409,https://assets-in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/vidudhala-part--1-et00356931-1681108273.jpg,"Vidudala 1",https://vidohd.com/Vidudala%20Part%201%20(2023)%20Telugu%20720p%20HD%20-%20Bolly2Tolly.wiki.mp4
410,https://www.cinejosh.com/newsimg/newsmainimg/ranbir-animal-episode-in-unstoppable-breaks-all-records_b_2411230909.jpg,"Unstoppable with NBK - Ranbir Animal Episode",https://vidohd.com/Unstoppable%20(2023)%20Animal%20Episode%20-%20Bolly2Tolly.dev.mp4
411,https://assets-in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chinna-et00370567-1695628154.jpg,Chinna,https://maxhd.icu/Chinna%20(2023)%20720p%20HD%20-%20Bolly2Tolly.world.mp4
452,https://artworks.thetvdb.com/banners/v4/season/2172983/posters/67b880a17a1d6.jpg,Sammelanam,https://drive.google.com/file/d/1FJwv1b8lwPve1nUAxjvi58mQgIbRv6ir/view?usp=sharing
453,https://play-lh.googleusercontent.com/NkYB_iqLQJf8N9CPgYA3NxaG4Y9_EcR3cnrcitT6Fq0Nx1HenFVm_mTybRkHpInKfJ_yC-yFiBLDTBu3pJw,"Ee Nagaraniki Emaindi ",https://drive.google.com/file/d/14h3LbAoNBpkG3sYzltCdTHe_85LN0gfg/view?usp=sharing
454,https://i.pinimg.com/originals/5e/ae/08/5eae08fd55f63646e394952b069c88e3.jpg,Khakee,https://drive.google.com/file/d/1-QqZn2tM9XY15cQGVmYtj4OGnwq54epy/view?usp=sharing
455,https://files.prokerala.com/movies/pics/800/movie-designs-102549.jpg,Jersey,https://drive.google.com/file/d/1NhzenTi2xjbKn_AntiLqNN1YYPkapu1n/view?usp=sharing
502,https://image.tmdb.org/t/p/original/nEufeZlyAOLqO2brrs0yeF1lgXO.jpg,RRR,https://drive.google.com/file/d/14sfA-X-ghEpP1tBNdzXo0gEjxalkzThm/view?usp=sharing
503,https://gallery.123telugu.com/content/slideshows/2024/11/Sankranthiki-Vasthunam-poster1/images/Sankranthiki%20vasthunam.jpg,"Sankranthiki Vasthunnam",https://drive.google.com/file/d/1drfV5d8PD4E3G4Z1SJZafyIcepstDTDS/view?usp=sharing
504,https://sund-images.sunnxt.com/72221/250x375_Abhimanyudu_72221_fd8e2672-5491-4ba7-b9ff-48f6d0302c1c.jpg,Abhimanyudu,https://drive.google.com/file/d/1fqLhhOaG3mh_G4LF98u5Fg6yDL00jFJr/view?usp=sharing
